mothers_education_level,cause_id,cause_rank,cause_of_death,mothers_avg_age,cause_death_count,total_death_count,cause_percentage
None,P36,1,Septicemia bacteriana do recém-nascido,26.57,25,248,10.08
None,P22,2,Desconforto (angústia) respiratório(a) do recém-nascido,21.38,22,248,8.87
None,P07,3,Transtornos relacionados com a gestação de curta duração e peso baixo ao nascer não classificados em outra parte,22.0,15,248,6.05
Elementary School,P22,1,Desconforto (angústia) respiratório(a) do recém-nascido,25.7,162,2164,7.49
Elementary School,P36,2,Septicemia bacteriana do recém-nascido,28.3,147,2164,6.79
Elementary School,P07,3,Transtornos relacionados com a gestação de curta duração e peso baixo ao nascer não classificados em outra parte,24.61,120,2164,5.55
Middle School,P22,1,Desconforto (angústia) respiratório(a) do recém-nascido,26.49,204,2544,8.02
Middle School,P36,2,Septicemia bacteriana do recém-nascido,26.05,194,2544,7.63
Middle School,P07,3,Transtornos relacionados com a gestação de curta duração e peso baixo ao nascer não classificados em outra parte,24.08,159,2544,6.25
High School,P36,1,Septicemia bacteriana do recém-nascido,23.21,717,8386,8.55
High School,P22,2,Desconforto (angústia) respiratório(a) do recém-nascido,22.9,704,8386,8.39
High School,P07,3,Transtornos relacionados com a gestação de curta duração e peso baixo ao nascer não classificados em outra parte,22.06,554,8386,6.61
Incomplete Higher Education,P22,1,Desconforto (angústia) respiratório(a) do recém-nascido,23.89,1063,11212,9.48
Incomplete Higher Education,P36,2,Septicemia bacteriana do recém-nascido,24.61,1035,11212,9.23
Incomplete Higher Education,P07,3,Transtornos relacionados com a gestação de curta duração e peso baixo ao nascer não classificados em outra parte,23.73,733,11212,6.54
Complete Higher Education,P36,1,Septicemia bacteriana do recém-nascido,28.61,345,3597,9.59
Complete Higher Education,P22,2,Desconforto (angústia) respiratório(a) do recém-nascido,29.06,330,3597,9.17
Complete Higher Education,Q24,3,Outras malformações congênitas do coração,29.1,214,3597,5.95
