decile,number_of_cities,lowest_gdp_per_capita,highest_gdp_per_capita,total_population,total_deaths,mean_age_of_death,median_age_of_death
1,556,2514.0,128987000000.0,21278605.0,122735,60.506,66.0
2,556,130176000000.0,334896000000.0,15876917.0,89560,60.864,66.0
3,556,334952000000.0,407702000000.0,21308969.0,112986,63.290,69.0
4,556,407777000000.0,493262000000.0,10964796.0,43660,62.230,69.0
5,556,493747000000.0,649166000000.0,14140620.0,63622,59.123,65.0
6,556,649189000000.0,849603000000.0,13370976.0,63220,60.726,66.0
7,556,850314000000.0,1047670000000.0,13962122.0,77221,61.856,67.0
8,556,1047870000000.0,1282750000000.0,17914705.0,116942,59.281,65.0
9,556,1283100000000.0,1644340000000.0,16757486.0,110293,61.907,67.0
10,556,1647010000000.0,6493110000000.0,45753847.0,335801,62.710,68.0
