State,Estimated_Population,Total_Deaths,Mortality_Rate
rio de janeiro,16010429.0,127563,7.967
rio grande do sul,10800064.0,77338,7.161
são paulo,41384039.0,266106,6.430
paraná,10686247.0,67281,6.296
pernambuco,8749270.0,54500,6.229
paraíba,3767672.0,23279,6.179
espírito santo,3487199.0,21273,6.100
mato grosso do sul,2360498.0,14263,6.042
minas gerais,20000329.0,120145,6.007
sergipe,2019679.0,11414,5.651
santa catarina,6114402.0,34234,5.599
alagoas,3156108.0,17553,5.562
piauí,3141073.0,16515,5.258
distrito federal,2606885.0,13496,5.177
goiás,5904607.0,30536,5.172
bahia,14637364.0,75566,5.163
ceará,8547809.0,43961,5.143
rio grande do norte,3134943.0,16087,5.132
tocantins,1290310.0,6597,5.113
mato grosso,3001692.0,14899,4.964
rondônia,1501513.0,7060,4.702
acre,691132.0,3034,4.390
pará,7424498.0,31232,4.207
maranhão,6367138.0,25143,3.949
amazonas,3393369.0,13191,3.887
roraima,421499.0,1620,3.843
amapá,626609.0,2154,3.438
